id,venue,title,link,summary,author,published,tags
30,popsci,Watch Video From NASA’s Perseverance Rover Landing on Mars,https://www.nytimes.com/2021/02/22/science/mars-landing-nasa-video.html,"The spacecraft has sent pictures, audio and video recordings to Earth since it landed on Mars last Thursday.",Kenneth Chang,"Mon, 22 Feb 2021 22:53:16 +0000","['Perseverance (Mars Rover)', 'Mars (Planet)', 'Video Recordings, Downloads and Streaming', 'National Aeronautics and Space Administration', 'Space and Astronomy']"
31,popsci,She Beat Cancer at 10. Now She'll Join SpaceX's First Private Trip to Orbit.,https://www.nytimes.com/2021/02/22/science/spacex-hayley-arceneaux.html,"St. Jude Hospital and Jared Isaacman, a billionaire entrepreneur, selected Hayley Arceneaux for a trip to orbit in a SpaceX capsule.",Kenneth Chang,"Mon, 22 Feb 2021 18:10:23 +0000","['Isaacman, Jared (1983- )', 'Private Spaceflight', 'Space Exploration Technologies Corp', ""St Jude Children's Research Hospital"", 'Space and Astronomy', 'Prostheses', 'Cancer', 'Arceneaux, Hayley']"
32,popsci,Seven Hundred Leagues Beneath Titan’s Methane Seas,https://www.nytimes.com/2021/02/21/science/saturn-titan-moon-exploration.html,"Mars, Shmars; this voyager is looking forward to a submarine ride under the icebergs on Saturn’s strange moon.",Dennis Overbye,"Sun, 21 Feb 2021 22:21:33 +0000","['Space and Astronomy', 'Titan (Saturn Moon)', 'Oceans and Seas', 'Planets', 'Cassini (Spacecraft)', 'Solar System', 'Submarines and Submersibles', 'your-feed-science']"
33,popsci,Octopuses Have a Secret Sense to Keep Their 8 Arms Out of Trouble,https://www.nytimes.com/2021/02/20/science/octopus-arms-light.html,"Even when an octopus can’t see light with its eyes, its arms seem to know it is there.",Richard Sima,"Sat, 20 Feb 2021 10:00:13 +0000","['Light', 'Research', 'Octopus', 'Animal Behavior', 'Animal Cognition', 'Journal of Experimental Biology', 'your-feed-animals', 'your-feed-science']"
34,popsci,"Meet Elizabeth Ann, the First Cloned Black-Footed Ferret",https://www.nytimes.com/2021/02/18/science/black-footed-ferret-clone.html,"Her birth represents the first cloning of an endangered species native to North America, and may bring needed genetic diversity to the species.",Sabrina Imbler,"Thu, 18 Feb 2021 18:33:06 +0000","['Cloning', 'Ferrets', 'Endangered and Extinct Species', 'Zoos', 'Breeding of Animals', 'Cryonics', 'Assn of Zoos & Aquariums', 'Fish and Wildlife Service', 'ViaGen Pets & Equine', 'Revive & Restore', 'San Diego Zoo', 'Ryder, Oliver', 'your-feed-science', 'your-feed-animals']"
35,popsci,Meet the Newest Member of the Fluorescent Mammal Club,https://www.nytimes.com/2021/02/18/science/fluorescent-mammal-springhare.html,The springhare — whose coat glows a patchy pinkish-orange under UV light — joins the platypus and other mammals with this perplexing trait.,Cara Giaimo,"Thu, 18 Feb 2021 10:00:20 +0000","['your-feed-science', 'Mammals', 'Ultraviolet Light', 'Research', 'Biology and Biochemistry', 'Rodents']"
36,popsci,A Hitchhiker’s Guide to an Ancient Geomagnetic Disruption,https://www.nytimes.com/2021/02/18/science/laschamp-earth-magnetic-climate.html,"A shift in Earth’s poles 42,000 years ago may have drastically altered the planet’s climate, scientists have found — and they’re naming the period after the author Douglas Adams.",Alanna Mitchell,"Fri, 19 Feb 2021 16:00:13 +0000","['Earth', 'Neanderthal Man', 'Archaeology and Anthropology', 'Endangered and Extinct Species', 'Ozone', 'Paleontology', 'Science (Journal)', 'Adams, Douglas', 'your-feed-science', 'Magnets and Magnetism', 'Research']"
37,popsci,A Famous Black Hole Gets a Massive Update,https://www.nytimes.com/2021/02/18/science/cygnus-black-hole-astronomy.html,"Cygnus X-1, one of the first identified black holes, is much weightier than expected, raising new questions about how such objects form.",Dennis Overbye,"Thu, 18 Feb 2021 23:25:55 +0000","['Space and Astronomy', 'Stars and Galaxies', 'Black Holes (Space)', 'Milky Way Galaxy', 'Astrophysical Journal', 'Science (Journal)', 'your-feed-science']"
38,popsci,Where Does the Columbian Mammoth Come From?,https://www.nytimes.com/2021/02/17/science/DNA-mammoth.html,Genomic data — the oldest ever recovered from a fossil — reveals the origin and evolution of the Columbian mammoth.,Katherine Kornei,"Wed, 17 Feb 2021 16:00:09 +0000","['Mammoths (Animals)', 'Genetics and Heredity', 'DNA (Deoxyribonucleic Acid)', 'Research', 'Paleontology', 'Ice Age', 'Nature (Journal)', 'Fossils', 'your-feed-science']"
39,popsci,Researchers Halt Trial of Promising Sickle Cell Treatment,https://www.nytimes.com/2021/02/22/health/sickle-cell-gene-therapy-bluebird.html,Two patients in a gene therapy study developed cancer years after treatment. It is not clear whether the therapy was responsible.,Gina Kolata,"Mon, 22 Feb 2021 23:53:17 +0000","['Sickle Cell Anemia', 'Leukemia', 'Bone Marrow', 'Genetic Engineering', 'Clinical Trials', 'Bluebird Bio Inc', 'Williams, David II', 'DNA (Deoxyribonucleic Acid)', 'National Heart, Lung and Blood Institute', 'Busulfan', 'Drugs (Pharmaceuticals)']"
40,scienceblogs,Watch Video From NASA’s Perseverance Rover Landing on Mars,https://www.nytimes.com/2021/02/22/science/mars-landing-nasa-video.html,"The spacecraft has sent pictures, audio and video recordings to Earth since it landed on Mars last Thursday.",Kenneth Chang,"Mon, 22 Feb 2021 22:53:16 +0000","['Perseverance (Mars Rover)', 'Mars (Planet)', 'Video Recordings, Downloads and Streaming', 'National Aeronautics and Space Administration', 'Space and Astronomy']"
41,scienceblogs,She Beat Cancer at 10. Now She'll Join SpaceX's First Private Trip to Orbit.,https://www.nytimes.com/2021/02/22/science/spacex-hayley-arceneaux.html,"St. Jude Hospital and Jared Isaacman, a billionaire entrepreneur, selected Hayley Arceneaux for a trip to orbit in a SpaceX capsule.",Kenneth Chang,"Mon, 22 Feb 2021 18:10:23 +0000","['Isaacman, Jared (1983- )', 'Private Spaceflight', 'Space Exploration Technologies Corp', ""St Jude Children's Research Hospital"", 'Space and Astronomy', 'Prostheses', 'Cancer', 'Arceneaux, Hayley']"
42,scienceblogs,Seven Hundred Leagues Beneath Titan’s Methane Seas,https://www.nytimes.com/2021/02/21/science/saturn-titan-moon-exploration.html,"Mars, Shmars; this voyager is looking forward to a submarine ride under the icebergs on Saturn’s strange moon.",Dennis Overbye,"Sun, 21 Feb 2021 22:21:33 +0000","['Space and Astronomy', 'Titan (Saturn Moon)', 'Oceans and Seas', 'Planets', 'Cassini (Spacecraft)', 'Solar System', 'Submarines and Submersibles', 'your-feed-science']"
43,scienceblogs,Octopuses Have a Secret Sense to Keep Their 8 Arms Out of Trouble,https://www.nytimes.com/2021/02/20/science/octopus-arms-light.html,"Even when an octopus can’t see light with its eyes, its arms seem to know it is there.",Richard Sima,"Sat, 20 Feb 2021 10:00:13 +0000","['Light', 'Research', 'Octopus', 'Animal Behavior', 'Animal Cognition', 'Journal of Experimental Biology', 'your-feed-animals', 'your-feed-science']"
44,scienceblogs,"Meet Elizabeth Ann, the First Cloned Black-Footed Ferret",https://www.nytimes.com/2021/02/18/science/black-footed-ferret-clone.html,"Her birth represents the first cloning of an endangered species native to North America, and may bring needed genetic diversity to the species.",Sabrina Imbler,"Thu, 18 Feb 2021 18:33:06 +0000","['Cloning', 'Ferrets', 'Endangered and Extinct Species', 'Zoos', 'Breeding of Animals', 'Cryonics', 'Assn of Zoos & Aquariums', 'Fish and Wildlife Service', 'ViaGen Pets & Equine', 'Revive & Restore', 'San Diego Zoo', 'Ryder, Oliver', 'your-feed-science', 'your-feed-animals']"
45,scienceblogs,Meet the Newest Member of the Fluorescent Mammal Club,https://www.nytimes.com/2021/02/18/science/fluorescent-mammal-springhare.html,The springhare — whose coat glows a patchy pinkish-orange under UV light — joins the platypus and other mammals with this perplexing trait.,Cara Giaimo,"Thu, 18 Feb 2021 10:00:20 +0000","['your-feed-science', 'Mammals', 'Ultraviolet Light', 'Research', 'Biology and Biochemistry', 'Rodents']"
46,scienceblogs,A Hitchhiker’s Guide to an Ancient Geomagnetic Disruption,https://www.nytimes.com/2021/02/18/science/laschamp-earth-magnetic-climate.html,"A shift in Earth’s poles 42,000 years ago may have drastically altered the planet’s climate, scientists have found — and they’re naming the period after the author Douglas Adams.",Alanna Mitchell,"Fri, 19 Feb 2021 16:00:13 +0000","['Earth', 'Neanderthal Man', 'Archaeology and Anthropology', 'Endangered and Extinct Species', 'Ozone', 'Paleontology', 'Science (Journal)', 'Adams, Douglas', 'your-feed-science', 'Magnets and Magnetism', 'Research']"
47,scienceblogs,A Famous Black Hole Gets a Massive Update,https://www.nytimes.com/2021/02/18/science/cygnus-black-hole-astronomy.html,"Cygnus X-1, one of the first identified black holes, is much weightier than expected, raising new questions about how such objects form.",Dennis Overbye,"Thu, 18 Feb 2021 23:25:55 +0000","['Space and Astronomy', 'Stars and Galaxies', 'Black Holes (Space)', 'Milky Way Galaxy', 'Astrophysical Journal', 'Science (Journal)', 'your-feed-science']"
48,scienceblogs,Where Does the Columbian Mammoth Come From?,https://www.nytimes.com/2021/02/17/science/DNA-mammoth.html,Genomic data — the oldest ever recovered from a fossil — reveals the origin and evolution of the Columbian mammoth.,Katherine Kornei,"Wed, 17 Feb 2021 16:00:09 +0000","['Mammoths (Animals)', 'Genetics and Heredity', 'DNA (Deoxyribonucleic Acid)', 'Research', 'Paleontology', 'Ice Age', 'Nature (Journal)', 'Fossils', 'your-feed-science']"
49,scienceblogs,Researchers Halt Trial of Promising Sickle Cell Treatment,https://www.nytimes.com/2021/02/22/health/sickle-cell-gene-therapy-bluebird.html,Two patients in a gene therapy study developed cancer years after treatment. It is not clear whether the therapy was responsible.,Gina Kolata,"Mon, 22 Feb 2021 23:53:17 +0000","['Sickle Cell Anemia', 'Leukemia', 'Bone Marrow', 'Genetic Engineering', 'Clinical Trials', 'Bluebird Bio Inc', 'Williams, David II', 'DNA (Deoxyribonucleic Acid)', 'National Heart, Lung and Blood Institute', 'Busulfan', 'Drugs (Pharmaceuticals)']"
50,scienceline,Watch Video From NASA’s Perseverance Rover Landing on Mars,https://www.nytimes.com/2021/02/22/science/mars-landing-nasa-video.html,"The spacecraft has sent pictures, audio and video recordings to Earth since it landed on Mars last Thursday.",Kenneth Chang,"Mon, 22 Feb 2021 22:53:16 +0000","['Perseverance (Mars Rover)', 'Mars (Planet)', 'Video Recordings, Downloads and Streaming', 'National Aeronautics and Space Administration', 'Space and Astronomy']"
51,scienceline,She Beat Cancer at 10. Now She'll Join SpaceX's First Private Trip to Orbit.,https://www.nytimes.com/2021/02/22/science/spacex-hayley-arceneaux.html,"St. Jude Hospital and Jared Isaacman, a billionaire entrepreneur, selected Hayley Arceneaux for a trip to orbit in a SpaceX capsule.",Kenneth Chang,"Mon, 22 Feb 2021 18:10:23 +0000","['Isaacman, Jared (1983- )', 'Private Spaceflight', 'Space Exploration Technologies Corp', ""St Jude Children's Research Hospital"", 'Space and Astronomy', 'Prostheses', 'Cancer', 'Arceneaux, Hayley']"
52,scienceline,Seven Hundred Leagues Beneath Titan’s Methane Seas,https://www.nytimes.com/2021/02/21/science/saturn-titan-moon-exploration.html,"Mars, Shmars; this voyager is looking forward to a submarine ride under the icebergs on Saturn’s strange moon.",Dennis Overbye,"Sun, 21 Feb 2021 22:21:33 +0000","['Space and Astronomy', 'Titan (Saturn Moon)', 'Oceans and Seas', 'Planets', 'Cassini (Spacecraft)', 'Solar System', 'Submarines and Submersibles', 'your-feed-science']"
53,scienceline,Octopuses Have a Secret Sense to Keep Their 8 Arms Out of Trouble,https://www.nytimes.com/2021/02/20/science/octopus-arms-light.html,"Even when an octopus can’t see light with its eyes, its arms seem to know it is there.",Richard Sima,"Sat, 20 Feb 2021 10:00:13 +0000","['Light', 'Research', 'Octopus', 'Animal Behavior', 'Animal Cognition', 'Journal of Experimental Biology', 'your-feed-animals', 'your-feed-science']"
54,scienceline,"Meet Elizabeth Ann, the First Cloned Black-Footed Ferret",https://www.nytimes.com/2021/02/18/science/black-footed-ferret-clone.html,"Her birth represents the first cloning of an endangered species native to North America, and may bring needed genetic diversity to the species.",Sabrina Imbler,"Thu, 18 Feb 2021 18:33:06 +0000","['Cloning', 'Ferrets', 'Endangered and Extinct Species', 'Zoos', 'Breeding of Animals', 'Cryonics', 'Assn of Zoos & Aquariums', 'Fish and Wildlife Service', 'ViaGen Pets & Equine', 'Revive & Restore', 'San Diego Zoo', 'Ryder, Oliver', 'your-feed-science', 'your-feed-animals']"
55,scienceline,Meet the Newest Member of the Fluorescent Mammal Club,https://www.nytimes.com/2021/02/18/science/fluorescent-mammal-springhare.html,The springhare — whose coat glows a patchy pinkish-orange under UV light — joins the platypus and other mammals with this perplexing trait.,Cara Giaimo,"Thu, 18 Feb 2021 10:00:20 +0000","['your-feed-science', 'Mammals', 'Ultraviolet Light', 'Research', 'Biology and Biochemistry', 'Rodents']"
56,scienceline,A Hitchhiker’s Guide to an Ancient Geomagnetic Disruption,https://www.nytimes.com/2021/02/18/science/laschamp-earth-magnetic-climate.html,"A shift in Earth’s poles 42,000 years ago may have drastically altered the planet’s climate, scientists have found — and they’re naming the period after the author Douglas Adams.",Alanna Mitchell,"Fri, 19 Feb 2021 16:00:13 +0000","['Earth', 'Neanderthal Man', 'Archaeology and Anthropology', 'Endangered and Extinct Species', 'Ozone', 'Paleontology', 'Science (Journal)', 'Adams, Douglas', 'your-feed-science', 'Magnets and Magnetism', 'Research']"
57,scienceline,A Famous Black Hole Gets a Massive Update,https://www.nytimes.com/2021/02/18/science/cygnus-black-hole-astronomy.html,"Cygnus X-1, one of the first identified black holes, is much weightier than expected, raising new questions about how such objects form.",Dennis Overbye,"Thu, 18 Feb 2021 23:25:55 +0000","['Space and Astronomy', 'Stars and Galaxies', 'Black Holes (Space)', 'Milky Way Galaxy', 'Astrophysical Journal', 'Science (Journal)', 'your-feed-science']"
58,scienceline,Where Does the Columbian Mammoth Come From?,https://www.nytimes.com/2021/02/17/science/DNA-mammoth.html,Genomic data — the oldest ever recovered from a fossil — reveals the origin and evolution of the Columbian mammoth.,Katherine Kornei,"Wed, 17 Feb 2021 16:00:09 +0000","['Mammoths (Animals)', 'Genetics and Heredity', 'DNA (Deoxyribonucleic Acid)', 'Research', 'Paleontology', 'Ice Age', 'Nature (Journal)', 'Fossils', 'your-feed-science']"
59,scienceline,Researchers Halt Trial of Promising Sickle Cell Treatment,https://www.nytimes.com/2021/02/22/health/sickle-cell-gene-therapy-bluebird.html,Two patients in a gene therapy study developed cancer years after treatment. It is not clear whether the therapy was responsible.,Gina Kolata,"Mon, 22 Feb 2021 23:53:17 +0000","['Sickle Cell Anemia', 'Leukemia', 'Bone Marrow', 'Genetic Engineering', 'Clinical Trials', 'Bluebird Bio Inc', 'Williams, David II', 'DNA (Deoxyribonucleic Acid)', 'National Heart, Lung and Blood Institute', 'Busulfan', 'Drugs (Pharmaceuticals)']"
